batch,Phase,Phase_,Day,Trial,CS,REC,Group,SN,FreezingRate
0,Acquisition,1,1,1,FALSE,0,2 m.o. Control,6,0
0,Acquisition,1,1,2,FALSE,0,2 m.o. Control,6,1.7
0,Acquisition,1,1,3,FALSE,0,2 m.o. Control,6,20.8
0,Retrieval,2,2,1,FALSE,0,2 m.o. Control,6,15
0,Extinction,3,3,1,FALSE,0,2 m.o. Control,6,31.7
0,Extinction,3,3,2,FALSE,0,2 m.o. Control,6,45.8
0,Extinction,3,3,3,FALSE,0,2 m.o. Control,6,3.3
0,Extinction,3,3,4,FALSE,0,2 m.o. Control,6,24.2
0,Extinction,3,3,5,FALSE,0,2 m.o. Control,6,17.5
0,Extinction,3,3,6,FALSE,0,2 m.o. Control,6,12.5
0,Extinction,3,3,7,FALSE,0,2 m.o. Control,6,8.3
0,Extinction,3,3,8,FALSE,0,2 m.o. Control,6,17.5
0,Extinction,3,3,9,FALSE,0,2 m.o. Control,6,20
0,Extinction,3,3,10,FALSE,0,2 m.o. Control,6,4.2
0,Extinction,3,3,11,FALSE,0,2 m.o. Control,6,11.7
0,Extinction,3,3,12,FALSE,0,2 m.o. Control,6,18.3
0,Extinction,3,3,13,FALSE,0,2 m.o. Control,6,13.3
0,Extinction,3,3,14,FALSE,0,2 m.o. Control,6,25.8
0,Extinction,3,3,15,FALSE,0,2 m.o. Control,6,23.3
0,Extinction,3,3,16,FALSE,0,2 m.o. Control,6,11.7
0,Extinction,3,3,17,FALSE,0,2 m.o. Control,6,12.5
0,Extinction,3,3,18,FALSE,0,2 m.o. Control,6,26.7
0,Extinction,3,3,19,FALSE,0,2 m.o. Control,6,12.5
0,Extinction,4,4,20,FALSE,0,2 m.o. Control,6,17.5
0,Extinction,4,4,21,FALSE,0,2 m.o. Control,6,11.7
0,Extinction,4,4,22,FALSE,0,2 m.o. Control,6,12.5
0,Extinction,4,4,23,FALSE,0,2 m.o. Control,6,17.5
0,Extinction,4,4,24,FALSE,0,2 m.o. Control,6,5.8
0,Extinction,4,4,25,FALSE,0,2 m.o. Control,6,0
0,Extinction,4,4,26,FALSE,0,2 m.o. Control,6,14.2
0,Extinction,4,4,27,FALSE,0,2 m.o. Control,6,7.5
0,Extinction,4,4,28,FALSE,0,2 m.o. Control,6,10
0,Extinction,4,4,29,FALSE,0,2 m.o. Control,6,8.3
0,LTM,5,5,1,FALSE,0,2 m.o. Control,6,8.3
0,UnsignaledShock,6,8,1,FALSE,0,2 m.o. Control,6,16.1
0,Reinstatement,7,9,1,FALSE,0,2 m.o. Control,6,28.3
0,Acquisition,1,1,1,TRUE,0,2 m.o. Control,6,5
0,Acquisition,1,1,2,TRUE,0,2 m.o. Control,6,6.7
0,Acquisition,1,1,3,TRUE,0,2 m.o. Control,6,45.8
0,Retrieval,2,2,1,TRUE,0,2 m.o. Control,6,51.7
0,Extinction,3,3,1,TRUE,0,2 m.o. Control,6,51.7
0,Extinction,3,3,2,TRUE,0,2 m.o. Control,6,48.3
0,Extinction,3,3,3,TRUE,0,2 m.o. Control,6,46.7
0,Extinction,3,3,4,TRUE,0,2 m.o. Control,6,53.3
0,Extinction,3,3,5,TRUE,0,2 m.o. Control,6,45.8
0,Extinction,3,3,6,TRUE,0,2 m.o. Control,6,55
0,Extinction,3,3,7,TRUE,0,2 m.o. Control,6,22.5
0,Extinction,3,3,8,TRUE,0,2 m.o. Control,6,35.8
0,Extinction,3,3,9,TRUE,0,2 m.o. Control,6,25.8
0,Extinction,3,3,10,TRUE,0,2 m.o. Control,6,31.7
0,Extinction,3,3,11,TRUE,0,2 m.o. Control,6,49.2
0,Extinction,3,3,12,TRUE,0,2 m.o. Control,6,35.8
0,Extinction,3,3,13,TRUE,0,2 m.o. Control,6,22.5
0,Extinction,3,3,14,TRUE,0,2 m.o. Control,6,19.2
0,Extinction,3,3,15,TRUE,0,2 m.o. Control,6,25.8
0,Extinction,3,3,16,TRUE,0,2 m.o. Control,6,41.7
0,Extinction,3,3,17,TRUE,0,2 m.o. Control,6,45.8
0,Extinction,3,3,18,TRUE,0,2 m.o. Control,6,18.3
0,Extinction,3,3,19,TRUE,0,2 m.o. Control,6,10.8
0,Extinction,4,4,20,TRUE,0,2 m.o. Control,6,17.5
0,Extinction,4,4,21,TRUE,0,2 m.o. Control,6,25
0,Extinction,4,4,22,TRUE,0,2 m.o. Control,6,10
0,Extinction,4,4,23,TRUE,0,2 m.o. Control,6,20.8
0,Extinction,4,4,24,TRUE,0,2 m.o. Control,6,23.3
0,Extinction,4,4,25,TRUE,0,2 m.o. Control,6,11.7
0,Extinction,4,4,26,TRUE,0,2 m.o. Control,6,16.7
0,Extinction,4,4,27,TRUE,0,2 m.o. Control,6,12.5
0,Extinction,4,4,28,TRUE,0,2 m.o. Control,6,15
0,Extinction,4,4,29,TRUE,0,2 m.o. Control,6,0
0,LTM,5,5,1,TRUE,0,2 m.o. Control,6,6.7
0,UnsignaledShock,6,8,1,TRUE,0,2 m.o. Control,6,16.1
0,Reinstatement,7,9,1,TRUE,0,2 m.o. Control,6,55
